"WEHLING, Heinz-Helmut",German Democratic Republic
"FERY, Gaston",France
"TADESSE, Zersenay",Eritrea
"RUMEAU, Emile",France
"MESSINA, Guido",Italy
"SWOOPES, Sheryl",United States
"FEDCHUK, Andriy",Ukraine
"THIEL, Alvar",Sweden
"ADENIKEN, Olapade",Nigeria
"GILLINGHAM, Nick",United Kingdom
"GRIN, Sergij",Ukraine
"BEREZHNAYA-ODINOKOVA, Liubov",Soviet Union
"ALACHACHAN, Armenak",Soviet Union
"SHY, Carl L.",United States
"GENTER, Robert Steven",United States
"REYNOLDS, Mark Jeffrey",United States
"GRONDONA, C.",United States
"SOMODY, Istvan",Hungary
"DE JONG, Jacobus Hermanus Hendrik",Netherlands
"SIREAU, Kevin",France
"DONNELLY, Euphrasia",United States
"JOHNSON, James",United Kingdom
"MCFALLS, Jennifer",United States
"NIKANCHIKOV, Aleksei",Soviet Union
"WARTELLE, Paul",France
"NISHI, Masafumi",Japan
"BROZOVIC, Miroslav",Yugoslavia
"ROSSI, Mariana",Argentina
"KULIKOV, Vladislav",Unified Team
"SIEGELAAR, Sarah",Netherlands
"ZHOU, Qiu-Rui",China
"DAY, Charles Ward",United States
"BOTTOM, Joseph Stuart",United States
"ORTIZ, Fidel",Mexico
"KRYLOV, Andrei",Soviet Union
"DE CHAMPSAVIN, Louis",France
"LEWIS, Frank Wyatt",United States
"SALAZAR BLANCO, Oscar Francisco",Mexico
"SZUCS, Lajos",Hungary
"BA, Yan",China
"THIOLON, Pierre",France
"LECUYER, LÍŠon",France
"RODRIGUEZ JURADO, Arturo",Argentina
"JELOVAC, Vinko",Yugoslavia
"IGLESIAS SOTOLONGO, Roniel",Cuba
"ARAMNAU, Andrei",Belarus
"WILLIAMS, Shericka",Jamaica
"KABAEVA, Alina",Russia
"DESPAIGNE, Alfredo",Cuba
"VASSILEVSKAIA, Elena",Russia
"LOUBSCHER, Henry James",South Africa
"MAYBANK, Anthuan",United States
"GERRESHEIM, Timothaus (Tim)",United States
"ULLMAN, Torsten",Sweden
"JAMES, Lebron",United States
"SIDORENKO, Aleksandr",Soviet Union
"NIKPAI, Rohullah",Afghanistan
"KÍ_RING, Dora",Germany
"SCHMITZ, Julian",United States
"MAEDA, Echiko",Japan
"LI, Kong-Zheng",China
"WANG, Xu",China
"SILKWORTH, William",United States
"BRITTING, Bernhard",United States
"WATSON, Lillian Debra",United States
"LOPEZ, Steven",United States
"GUNDERSEN, Trude",Norway
ANDREIA,Brazil
"GAIDARBEKOV, Gaidarbek",Russia
"ODELIN SANAME, Vicyohandri",Cuba
"BERNATAJTYS, Milosz",Poland
VAN HEUCKELUM,Belgium
"BUCKNER, William Quinn",United States
"KARASEVDAS, Pantelis",Greece
"LAIDEBEUR, Bernard",France
"SCARLAT, Roxana",Romania
"FREITAS, Clinio",Brazil
"BOUSHKA, Richard James",United States
"TERENZI, Tonhi",Italy
"PETTERSON, Pelle",Sweden
"AHLQVIST, Thure",Sweden
"CHAMBERLIN, Harry Dwight",United States
"SHI, Guihong",China
"KRISS, Grigori",Soviet Union
"BÍ_HLING, Ivar Theodor",Finland
"KULAGIN, Aleksandr",Soviet Union
"ESKIDIOGLOU, Odysseus",Greece
"SAIDI-SIEF, Ali",Algeria
"VYRUPAEV, Konstantin",Soviet Union
"ACHEAMPONG, Joachin Yaw",Ghana
"MAAS, Annelies",Netherlands
"PHARAMOND, Alexandre",France
"MIASNIKOV, Aleksandr",Soviet Union
"VANNI, Simone",Italy
"RIECK, Alfred",Germany
"TORREY, Owen Cates Jr.",United States
"KOTAKA, Masahiro",Japan
"HORSLEY, Jack S.",United States
"ZYKINA, Olesya",Russia
"SIEBURGER JR., Enrique Conrado",Argentina
"INDRIYANI, Sri",Indonesia
"ANTIC, Joseph",India
"HARDIE, Kelly",Australia
"SZEWINSKA, Irena",Poland
"OTZETOVA, Svetla",Bulgaria
"ALFREDSSON, Axel",Sweden
"BERGEN, Larisa",Soviet Union
"MOSESHVILI, Levan",Soviet Union
"BLINOV, Alexander",Russia
"TAYMAZOV, Artur",Uzbekistan
"HANCKE, SÍ_ren",Denmark
"PORENTA, Ivan",Yugoslavia
"FAGGI, Francesco",Italy
"ERICSSON-EWREUS, Sture H.",Sweden
"JELCIC, Vladimir",Croatia
"KHURSHEED, Aslam",Pakistan
